permno,ticker,date,price,ret,market_cap,eps,eps_date,eps_announced,trailing_pe,expected_eps,median_eps,num_analysts,forecast_date,forward_pe
85348,YUM,2006-09-29,52.05,0.064853,14091236.25,1.27,2005-12-31,2006-02-06,40.98425196850393,1.42,1.42,15.0,2006-09-14,36.65492957746479
85348,YUM,2006-10-31,59.46,0.145245,15761418.96,1.27,2005-12-31,2006-02-06,46.818897637795274,1.45,1.45,17.0,2006-10-19,41.00689655172414
85348,YUM,2006-11-30,61.19,0.029095,16220000.44,1.27,2005-12-31,2006-02-06,48.18110236220472,1.45,1.45,17.0,2006-11-16,42.2
85348,YUM,2006-12-29,58.8,-0.039059,15586468.799999999,1.27,2005-12-31,2006-02-06,46.29921259842519,1.45,1.45,17.0,2006-12-14,40.55172413793103
85348,YUM,2007-01-31,60.01,0.023129,15907210.76,1.27,2005-12-31,2006-02-06,47.25196850393701,1.45,1.45,17.0,2007-01-18,41.38620689655173
85348,YUM,2007-02-28,57.94,-0.034494,15274490.44,1.46,2006-12-31,2007-02-12,39.68493150684932,1.61,1.61,17.0,2007-02-15,35.98757763975155
85348,YUM,2007-03-30,57.76,0.002071,15227037.76,1.46,2006-12-31,2007-02-12,39.56164383561644,1.61,1.61,17.0,2007-03-15,35.87577639751552
85348,YUM,2007-04-30,61.86,0.070983,16243136.94,1.46,2006-12-31,2007-02-12,42.369863013698634,1.62,1.62,16.0,2007-04-19,38.18518518518518
85348,YUM,2007-05-31,67.72,0.09473,17736003.44,1.46,2006-12-31,2007-02-12,46.38356164383562,1.63,1.63,15.0,2007-05-17,41.54601226993865
85348,YUM,2007-06-29,32.72,-0.033668,17138866.88,1.46,2006-12-31,2007-02-12,22.410958904109588,1.63,1.63,14.0,2007-06-14,20.073619631901842
85348,YUM,2007-07-31,32.04,-0.016198,16659678.6,1.46,2006-12-31,2007-02-12,21.945205479452056,1.64,1.64,16.0,2007-07-19,19.53658536585366
85348,YUM,2007-08-31,32.72,0.021224,17013254.8,1.46,2006-12-31,2007-02-12,22.410958904109588,1.64,1.64,15.0,2007-08-16,19.951219512195124
85348,YUM,2007-09-28,33.83,0.033924,17590415.95,1.46,2006-12-31,2007-02-12,23.171232876712327,1.64,1.64,15.0,2007-09-20,20.628048780487806
85348,YUM,2007-10-31,40.27,0.194797,20481644.16,1.46,2006-12-31,2007-02-12,27.58219178082192,1.66,1.66,15.0,2007-10-18,24.259036144578317
85348,YUM,2007-11-30,37.15,-0.077477,18894787.2,1.46,2006-12-31,2007-02-12,25.445205479452053,1.66,1.66,14.0,2007-11-15,22.379518072289155
85348,YUM,2007-12-31,38.27,0.030148,19464428.16,1.46,2006-12-31,2007-02-12,26.21232876712329,1.66,1.66,16.0,2007-12-20,23.054216867469883
85348,YUM,2008-01-31,34.16,-0.103475,17374049.279999997,1.46,2006-12-31,2007-02-12,23.397260273972602,1.66,1.66,14.0,2008-01-17,20.57831325301205
85348,YUM,2008-02-29,34.45,0.008489,16380768.3,1.68,2007-12-31,2008-02-04,20.505952380952383,1.86,1.86,10.0,2008-02-14,18.521505376344088
85348,YUM,2008-03-31,37.21,0.080116,17693131.740000002,1.68,2007-12-31,2008-02-04,22.148809523809526,1.86,1.86,10.0,2008-03-20,20.00537634408602
85348,YUM,2008-04-30,40.68,0.097286,19271377.08,1.68,2007-12-31,2008-02-04,24.214285714285715,1.86,1.86,10.0,2008-04-17,21.870967741935484
85348,YUM,2008-05-30,39.7,-0.024091,18807120.700000003,1.68,2007-12-31,2008-02-04,23.630952380952383,1.89,1.89,11.0,2008-05-15,21.005291005291006
85348,YUM,2008-06-30,35.09,-0.116121,16623220.790000001,1.68,2007-12-31,2008-02-04,20.886904761904766,1.89,1.89,12.0,2008-06-19,18.56613756613757
